FROM,ASID,SOURCE_ID,SURFACE_MA,LENGTH_M,WIDTH_M,STARTX,STARTY,ENDX,ENDY,DATE_OF_CO,OWNER,CURRENT_MA,CURRENTLY_,SECTION,XSP,STCHAIN,ENDCHAIN,ASSET_LEN,_DBFOCODE,_SOURCE,CREATEDATE,START_DATE,WKT
A19_Footway_0,155,2600000155,CONCRETE,85.526669622,3,443920.187236272,504766.37138441,443913.343835558,504851.566997419,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,2700A19/940,L2,1096.79,1182.04,85.25,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(443920.187236272 504766.37138441,443913.343835558 504851.566997419)"
A19_Footway_0,156,2600000156,CONCRETE,43.364824199,1,444185.340156223,503391.754864296,444183.122234786,503435.062467623,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,2700A19/934,L1,497.62,541.44,43.8200000000001,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(444185.340156223 503391.754864296,444183.122234786 503435.062467623)"
A19_Footway_0,157,2600000157,CONCRETE,45.197135682,2,444214.964660759,502870.624036444,444212.812699812,502915.751118951,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,2700A19/928,L1,1716.58,1742.82,26.24,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(444214.964660759 502870.624036444,444212.812699812 502915.751118951)"
A19_Footway_0,158,2600000158,ASPHALT,125.434109497,3,446242.095383075,520746.407146755,446357.905511301,520702.65966934,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/340,L2,943.42,1067,123.58,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(446242.095383075 520746.407146755,446357.905511301 520702.65966934)"
A19_Footway_0,159,2600000159,ASPHALT,3.247067028,3,446239.440473401,520748.276611626,446242.095383075,520746.407146755,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/340,L2,940.23,943.42,3.18999999999994,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(446239.440473401 520748.276611626,446242.095383075 520746.407146755)"
A19_Footway_0,160,2600000160,ASPHALT,185.995419968,3,446070.812483761,520823.345123488,446239.440473401,520748.276611626,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/340,L1,0,940.23,940.23,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(446070.812483761 520823.345123488,446239.440473401 520748.276611626)"
A19_Footway_0,161,2600000161,ASPHALT,750.216990073,3,445468.873553014,521256.251205411,446070.812483761,520823.345123488,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/340,L2,0,755.39,755.39,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(445468.873553014 521256.251205411,446070.812483761 520823.345123488)"
A19_Footway_0,162,2600000162,ASPHALT,0.583688386,3,445468.527260448,521256.721070914,445468.873553014,521256.251205411,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/342,L2,865.58,866,0.419999999999959,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(445468.527260448 521256.721070914,445468.873553014 521256.251205411)"
A19_Footway_0,163,2600000163,CONCRETE,23.233731785,1,445261.279404611,521796.156659083,445263.621001963,521773.183235157,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/342,L2,276.46,299.97,23.5100000000001,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(445261.279404611 521796.156659083,445263.621001963 521773.183235157)"
A19_Footway_0,164,2600000164,CONCRETE,4.071476425,2,445260.248771973,521800.095531592,445261.279404611,521796.156659083,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/342,L2,272.41,276.46,4.04999999999996,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(445260.248771973 521800.095531592,445261.279404611 521796.156659083)"
